evaluations raw_y
89 1218481942.4936423302
97 903203414.2580240965
167 791184528.8197206259
330 648770754.5301291943
520 648115308.1771733761
535 630315251.9626427889
555 620099824.1759982109
678 595209096.2180986404
687 590801021.1761063337
689 567324339.6334534883
825 540252641.3826155663
878 498925879.0711985230
1127 403635651.2700055242
400058 -nan
evaluations raw_y
1 5201643080.5224332809
16 5024376403.7827587128
18 4152376571.7150921822
22 4129042261.1851782799
26 3880810411.5047807693
35 3512712120.0495204926
61 2758607701.0081119537
83 2604703177.9908900261
135 2513938019.6270489693
147 2162834073.9764194489
294 2156510201.8464455605
307 2005402282.7023344040
311 1551699463.3070399761
330 1545340638.8448987007
366 1359672160.5892164707
521 1273515486.9399640560
522 1138899676.5833961964
524 798660511.3439258337
640 789774580.5488839149
749 780331709.7963653803
884 707856102.2957193851
937 558954865.4511003494
990 455005629.2234807611
400116 -nan
